"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"191","A Generalization of the Quasilinear Mean with Applications to the Measurement of",4,51,4,28,"Chew Soo Hong","","","","","OtherAuthor","","","","",1
"192","A Generalized Model of Pricing for Homogeneous Goods under Imperfect Information",5,49,2,12,"Asha Sadanand","Louis Wilde","","","","OtherAuthor","OtherAuthor","","","",2
"193","A Genuine Rank-Dependent Generalization of the Von Neumann-Morgenstern Expected",4,70,2,20,"Mohammed Abdellaoui","","","","","OtherAuthor","","","","",1
"194","A Growth Model for a Tenured-Labor-Managed Firm",3,95,3,16,"Andre Sapir","","","","","OtherAuthor","","","","",1
"195","A Hazard Rate Approach to the Timing of Births",4,52,4,24,"John L. Newman","Charles E. McCulloch","","","","OtherAuthor","OtherAuthor","","","",2
"196","A Heteroskedasticity Test Robust to Conditional Mean Misspecification",4,60,1,13,"Byung-Joo Lee","","","","","OtherAuthor","","","","",1
"197","A Heteroskedasticity-Consistent Covariance Matrix Estimator and a Direct Test fo",4,48,4,22,"Halbert White","","","","","White16","","","","",1
"198","A History of Mechanization in the Cotton South: The Institutional Hypothesis",3,100,4,25,"Warren C. Whatley","","","","","WHATLEY","","","","",1
"199","A Language Theory of Discrimination",3,101,2,20,"Kevin Lang","","","","","LANG21","","","","",1
"200","A Life Cycle Model of Female Labour Supply",5,47,1,28,"James J. Heckman","Thomas E. Macurdy","","","","Heckman","OtherAuthor","","","",2
"201","A Life for Sound Money: Per Jacobsson. His Biography",2,89,1,3,"Alec Cairncross","","","","","OtherAuthor","","","","",1
"202","A Life-Cycle Consistent Empirical Model of Family Labour Supply Using Cross-Sect",5,53,4,20,"Richard Blundell","Ian Walker","","","","OtherAuthor","OtherAuthor","","","",2
"203","A Life-Cycle Consumption Model with Liquidity Constraints: Theory and Empirical",4,55,3,25,"Randall P. Mariger","","","","","OtherAuthor","","","","",1
"204","A Life-Cycle Model of the Linear Income Tax",5,47,4,9,"Nancy L. Stokey","","","","","Stokey","","","","",1
"205","A Limited Information Specification Test",4,50,4,1,"David E. Spencer","Kenneth N. Berk","","","","OtherAuthor","OtherAuthor","","","",2
"206","A Linear Theory for Noncausality",4,53,1,20,"J.-P. Florens","M. Mouchart","","","","OtherAuthor","OtherAuthor","","","",2
"207","A Liquidity-based Model of Security Design",4,67,1,35,"Peter Demarzo","Darrell Duffie","","","","OtherAuthor","OtherAuthor","","","",2
"208","A Loanable Funds Theory of Unemployment and Monetary Disequilibrium",1,71,5,21,"Meir Kohn","","","","","OtherAuthor","","","","",1
"209","A Longitudinal Analysis of Strike Activity in U.S. Manufacturing: 1957-1984",1,79,4,11,"Susan B. Vroman","","","","","OtherAuthor","","","","",1
"210","A Macroeconomic Model with Auction Markets and Nominal Contracts",1,76,1,8,"Richard Cantor","","","","","OtherAuthor","","","","",1
"211","A Market Equilibrium Theory of Job Assignment and Sequential Accumulation of Inf",1,72,5,18,"Glenn M. MacDonald","","","","","OtherAuthor","","","","",1
"212","A Market Value Approach to Approximate Equilibria",4,50,1,10,"Robert M. Anderson","","","","","Anderson7","","","","",1
"213","A Memory-Based Model of Bounded Rationality",3,117,3,40,"Sendhil Mullainathan","","","","","Mullainathan","","","","",1
"214","A Method for Determining the Appropriateness of National Planning in a Market Ec",3,95,2,16,"Jeffrey B. Miller","","","","","OtherAuthor","","","","",1
"215","A Method for Identifying the Public Good Allocation Process within a Group",3,100,0,20,"Martin C. McGuire","Carl H. Groth, Jr.","","","","OtherAuthor","OtherAuthor","","","",2
"216","A Method for Minimizing the Impact of Distributional Assumptions in Econometric",4,52,2,50,"J. Heckman","B. Singer","","","","OtherAuthor","OtherAuthor","","","",2
"217","A Method of Simulated Moments for Estimation of Discrete Response Models Without",4,57,5,32,"Daniel McFadden","","","","","OtherAuthor","","","","",1
"218","A Microeconometric Analysis of Risk Aversion and the Decision to Self-Insure",2,102,1,18,"Charles J. Cicchetti","Jeffrey A. Dubin","","","","OtherAuthor","Dubin19","","","",2
"219","A Micro-Econometric Model of Capital Utilization and Retirement: The Case of the",5,59,2,21,"Sanghamitra Das","","","","","OtherAuthor","","","","",1
"220","A Microeconometric Model of the Demand for Health Care and Health Insurance in A",5,55,1,22,"A. C. Cameron","P. K. Trivedi","Frank Milne","J. Piggott","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"221","A Microeconomic Mechanism for Economic Growth",2,99,3,23,"Xiaokai Yang","Jeff Borland","","","","OtherAuthor","OtherAuthor","","","",2
"222","A Microfoundation for Social Increasing Returns in Human Capital Accumulation",3,111,3,26,"Daron Acemoglu","","","","","Acemoglu","","","","",1
"223","A Minsky Crisis",3,100,0,15,"Lance Taylor","Stephen A. O'Connell","","","","OtherAuthor","OtherAuthor","","","",2
"224","A Model of Chinese National Income Determination",2,93,4,11,"Gregory C. Chow","","","","","OtherAuthor","","","","",1
"225","A Model of Competitive Stock Trading Volume",2,102,1,42,"Jiang Wang","","","","","OtherAuthor","","","","",1
"226","A Model of Declining Health and Retirement",2,93,6,10,"John R. Wolfe","","","","","OtherAuthor","","","","",1
"227","A Model of Diffusion in the Production of an Innovation",1,72,5,10,"Michael Gort","Akira Konakayama","","","","OtherAuthor","OtherAuthor","","","",2
"228","A Model of Exchange Rate Dynamics,",2,90,1,31,"Michael Mussa","","","","","OtherAuthor","","","","",1
"229","A Model of Expertise",3,116,2,29,"Vijay Krishna","John Morgan","","","","OtherAuthor","OtherAuthor","","","",2
"230","A Model of Financial Crises in Emerging Markets",3,116,2,29,"Roberto Chang","Andres Velasco","","","","OtherAuthor","OtherAuthor","","","",2
"231","A Model of Forced Saving Based upon Differential Expectations",3,95,1,5,"Michael Hicks","","","","","OtherAuthor","","","","",1
"232","A Model of Growth Through Creative Destruction",4,60,2,29,"Philippe Aghion","Peter Howitt","","","","Aghion","Howitt","","","",2
"233","A Model of Homogeneous Input Demand Under Price Uncertainty",1,81,3,25,"Frank A. Wolak","Charles D. Kolstad","","","","Wolak","OtherAuthor","","","",2
"234","A Model of Housing Tenure Choice",1,73,1,16,"J. V. Henderson","Y. M. Ioannides","","","","Henderson23","OtherAuthor","","","",2
"235","A Model of Imperfect Competition with Keynesian Features",3,97,1,30,"Oliver Hart","","","","","Hart1","","","","",1
"236","A Model of International Trade and Finance",3,95,2,16,"Laurence Weiss","","","","","OtherAuthor","","","","",1
"237","A Model of Intertemporal Asset Prices Under Asymmetric Information",5,60,2,34,"Jiang Wang","","","","","OtherAuthor","","","","",1
"238","A Model of Political Competition with Citizen-Candidates",3,111,1,32,"Martin J. Osborne","Al Slivinski","","","","OtherAuthor","OtherAuthor","","","",2
"239","A Model of Sales",1,70,4,9,"Hal R. Varian","","","","","varian","","","","",1
"240","A Model of Sales",1,71,3,1,"Hal R. Varian","","","","","varian","","","","",1
"241","A Model of Stochastic Equilibrium in a Quasi-Competitive Industry",5,47,4,18,"John Sutton","","","","","OtherAuthor","","","","",1
"242","A Model of Stochastic Process Switching",4,51,3,16,"Robert P. Flood","Peter M. Garber","","","","OtherAuthor","OtherAuthor","","","",2
"243","A Model of the Demand for Longevity and the Value of Life Extension",2,98,4,22,"Isaac Ehrlich","Hiroyuki Chuma","","","","OtherAuthor","OtherAuthor","","","",2
"244","A Model of the Evolution of Duopoly: Does the Asymmetry between Firms Tend to In",5,60,3,29,"Christopher Budd","Christopher Harris","John Vickers","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"245","A Model of the Firm as a Stockholder-Employee Cooperative Game",1,70,4,11,"Masahiko Aoki","","","","","Aoki2","","","","",1
"246","A Model of the London Coal Trade in the Eighteenth Century",3,94,1,15,"William J. Hausman","","","","","OtherAuthor","","","","",1
"247","A Model of the Parallel Team Strategy in Product Development",1,70,5,9,"Fred D. Arditti","Haim Levy","","","","OtherAuthor","OtherAuthor","","","",2
"248","A Model of Wage-Price Inflation",5,47,1,6,"J. D. Sargan","","","","","OtherAuthor","","","","",1
"249","A Modigliani-Miller Theorem for Open-Market Operations",1,71,3,8,"Neil Wallace","","","","","OtherAuthor","","","","",1
"250","A Monetary Approach to the Balance of Trade",1,71,3,7,"Gary A. Craig","","","","","OtherAuthor","","","","",1
"251","A Monetary Approach to the Crawling-Peg System: Theory and Evidence, pp",2,89,1,20,"Mario I. Blejer","Leonardo Leiderman","","","","OtherAuthor","OtherAuthor","","","",2
"252","A Monetary Equilibrium Model with Transactions Costs",2,92,1,19,"Julio J. Rotemberg","","","","","OtherAuthor","","","","",1
"253","A Monetary Explanation of the Equity Premium, Term Premium, and Risk-Free Rate P",2,104,6,37,"Ravi Bansal","Wilbur John Coleman II","","","","OtherAuthor","OtherAuthor","","","",2
"254","A Monopoly Model of Public Goods Provision: The Uniform Pricing Case",1,71,1,11,"Geoffrey Brennan","Cliff Walsh","","","","OtherAuthor","OtherAuthor","","","",2
"255","A More Powerful Method for Triangularizing Input-Output Matrices and the Similar",4,54,6,9,"Yukio Fukui","","","","","OtherAuthor","","","","",1
"256","A More Robust Definition of Subjective Probability",4,60,4,36,"Mark J. Machina","David Schmeidler","","","","Machina","SCHMEIDLER","","","",2
"257","A Multistage Model of Bargaining",5,50,3,16,"Joel Sobel","Ichiro Takahashi","","","","Sobel16","OtherAuthor","","","",2
"258","Jeopardy!",1,85,1,14,"Andrew Metrick","","","","","OtherAuthor","","","","",1
"259","A Natural Experiment in the Organization of Entry-Level Labor Markets: Regional",1,81,3,26,"Alvin E. Roth","","","","","Roth1","","","","",1
"260","A Near-Rational Model of the Business Cycle, With Wage and Price Inertia",3,100,0,16,"George A. Akerlof","Janet L. Yellen","","","","Akerlof","Janet","","","",2
"261","A Necessary and Sufficient Condition for Two-Person Nash Implementation",5,58,1,8,"Bhaskar Dutta","Arunava Sen","","","","OtherAuthor","OtherAuthor","","","",2
"262","A Neglected Classic in the Theory of Distribution,",2,90,2,23,"John K. Whitaker","","","","","OtherAuthor","","","","",1
"263","A Neoclassical Model of the Balance of Payments",5,51,4,14,"Ron Michener","","","","","Michener","","","","",1
"264","A Neoclassical Model of the Dual Economy with Capital Accumulation in Agricultur",5,47,5,12,"Masanori Amano","","","","","OtherAuthor","","","","",1
"265","A Neoclassical Model of Unemployment and the Business Cycle",2,96,3,25,"James D. Hamilton","","","","","Hamilton16","","","","",1
"266","A New Approach to Evaluating Trade Policy",5,63,1,19,"James E. Anderson","J. Peter Neary","","","","OtherAuthor","OtherAuthor","","","",2
"267","A New Approach to the Economic Analysis of Nonstationary Time Series and the Bus",4,57,2,28,"James D. Hamilton","","","","","Hamilton16","","","","",1
"268","A New Estimate of the Welfare Loss of Excess Health Insurance",1,81,1,5,"Roger Feldman","Bryan Dowd","","","","Feldman10","OtherAuthor","","","",2
"269","A New Form of the Information Matrix Test",4,60,1,13,"Russell Davidson","James G. MacKinnon","","","","OtherAuthor","OtherAuthor","","","",2
"270","A New Measure of Horizontal Equity",1,92,4,9,"Alan J. Auerbach","Kevin A. Hassett","","","","Auerbach","OtherAuthor","","","",2
"271","A New Perspective on Planned Obsolescence",3,108,1,11,"Michael Waldman","","","","","OtherAuthor","","","","",1
"272","A New Specification Test for the Validity of Instrumental Variables",4,70,1,27,"Jinyong Hahn","Jerry Hausman","","","","Hahn","Hausman","","","",2
"273","A New Theory of Aggregate Supply",1,74,5,11,"Roger E. A. Farmer","","","","","Farmer11","","","","",1
"274","A New View of the Federal Debt and Budget Deficits",1,74,1,19,"Robert Eisner","Paul J. Pieper","","","","OtherAuthor","OtherAuthor","","","",2
"275","A Noisy Rational Expectations Equilibrium for Multi-Asset Securities Markets",4,53,3,30,"Anat R. Admati","","","","","OtherAuthor","","","","",1
"276","A Nominal Theory of the Nominal Rate of Interest and the Price Level",2,88,1,12,"Marco Antonio Campos Martins","","","","","OtherAuthor","","","","",1
"277","A Noncooperative Model of Network Formation",4,68,5,49,"Venkatesh Bala","Sanjeev Goyal","","","","OtherAuthor","OtherAuthor","","","",2
"278","A Noncooperative Theory of Coalitional Bargaining",5,60,2,15,"Kalyan Chatterjee","Bhaskar Dutta","Debraj Ray","Kunal Sengupta","","OtherAuthor","OtherAuthor","Ray17","OtherAuthor","",4
"279","A Noncooperative View of Coalition Formation and the Core",4,62,4,23,"Motty Perry","Philip J. Reny","","","","OtherAuthor","Reny","","","",2
"280","A Nonlinear Dynamic Model of Short Run Fluctuations",5,48,4,8,"Garry J. Schinasi","","","","","OtherAuthor","","","","",1
"281","A Non-Parametric Analysis of Productivity: The Case of U.S. and Japanese Manufac",1,80,3,15,"Jean-Paul Chavas","Thomas L. Cox","","","","Chavas","OtherAuthor","","","",2
"282","A Nonparametric Investigation of Duration Dependence in the American Business Cy",2,98,3,21,"Francis X. Diebold","Glenn D. Rudebusch","","","","Diebold","OtherAuthor","","","",2
"283","A Nonparametric Test for I(0)",5,65,3,21,"Ignacio N. Lobato","Peter M. Robinson","","","","OtherAuthor","OtherAuthor","","","",2
"284","A Nonuniform Pricing Model of Union Wages and Employment",2,96,3,36,"Peter Kuhn","","","","","OtherAuthor","","","","",1
"285","A Note of Dynamic Tax Incidence",3,96,4,19,"B. Douglas Bernheim","","","","","Bernheim","","","","",1
"286","Strategic Trade Policy Design with Asymmetric Information and Public Contracts",5,65,3,3,"Giovanni Maggi","","","","","Maggi","","","","",1
"287","A Note on Bankruptcy Rules and Credit Constraints in Temporary Equilibrium",4,57,3,9,"Jurgen Eichberger","","","","","OtherAuthor","","","","",1
"288","A Note on Bilateral Monopoly and Formula Price Contracts",1,77,3,4,"Roger D. Blair","David L. Kaserman","","","","OtherAuthor","OtherAuthor","","","",2
"289","A Note on Commodity Taxation: The Choice of Variable and the Slutsky, Hessian an",5,53,2,7,"Nicholas Stern","","","","","OtherAuthor","","","","",1
"290","A Note on Competitive Investment under Uncertainty",1,83,1,5,"Robert S. Pindyck","","","","","OtherAuthor","","","","",1
"291","A Note on Decomposable Inequality Measures",5,52,2,6,"R. Robert Russell","","","","","OtherAuthor","","","","",1
"292","A Note on Enforcement Uncertainty and Taxpayer Compliance",3,103,4,6,"Jennifer F. Reinganum","Louis L. Wilde","","","","OtherAuthor","OtherAuthor","","","",2
"293","A Note on Equity and Efficiency in the Pricing of Local Telephone Services",1,75,3,4,"Edward Renshaw","","","","","OtherAuthor","","","","",1
"294","A Note on Estimating Treatment Effects",1,71,4,6,"Peter T. Gottschalk","","","","","OtherAuthor","","","","",1
"295","A Note on Incentives in Large Economies",5,49,4,9,"Paul Champsaur","Guy Laroque","","","","OtherAuthor","OtherAuthor","","","",2
"296","A Note on Indivisibilities, Specialization, and Economies of Scale",1,77,1,3,"Brian K. Edwards","Ross M. Starr","","","","OtherAuthor","Starr","","","",2
"297","A Note on Noncausality",4,50,3,10,"J. P. Florens","M. Mouchart","","","","OtherAuthor","OtherAuthor","","","",2
"298","A Note on Optimal Fines When Wealth Varies Among Individuals",1,81,3,4,"A. Mitchell Polinsky","Steven Shavell","","","","OtherAuthor","OtherAuthor","","","",2
"299","A Note on Optimal Policies in Dual Economies",3,100,0,5,"Ira N. Gang","Shubhashis Gangopadhyay","","","","OtherAuthor","OtherAuthor","","","",2
"300","A Note on Portfolio Dominance",5,64,1,4,"Christian Gollier","","","","","OtherAuthor","","","","",1
"301","A Note on Restaurant Pricing and Other Examples of Social Influences on Price",2,99,5,8,"Gary S. Becker","","","","","Becker3","","","","",1
"302","A Note on Sequential Auctions",1,84,3,5,"Dan Bernhardt","David Scoones","","","","Bernhardt","OtherAuthor","","","",2
"303","A Note on the Causal Factors of China's Famine in 1959-1961",2,107,6,5,"Shujie Yao","","","","","OtherAuthor","","","","",1
"304","A Note on the Effects of Taxation on Charitable Giving Over the Life Cycle and B",3,99,3,9,"Harry Watson","","","","","OtherAuthor","","","","",1
